Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Begin Path
2750	Spectrogram 1	1	70702.598000000	70704.402000000	20.6	33.8	1.804	13.2	-51.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2751	Spectrogram 1	1	70706.451000000	70710.303000000	24.7	58.5	3.852	33.8	-53.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2752	Spectrogram 1	1	70717.885000000	70720.426000000	27.2	51.1	2.541	23.9	-55.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2753	Spectrogram 1	1	70717.926000000	70719.524000000	15.7	38.7	1.598	23.0	-55.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2754	Spectrogram 1	1	70726.369000000	70729.893000000	30.5	45.3	3.524	14.8	-54.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2755	Spectrogram 1	1	70730.303000000	70734.606000000	20.6	161.5	4.303	140.9	-50.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2756	Spectrogram 1	1	70737.885000000	70739.319000000	15.7	39.6	1.434	23.9	-59.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2757	Spectrogram 1	1	70739.852000000	70744.975000000	28.8	48.6	5.123	19.8	-52.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2758	Spectrogram 1	1	70740.426000000	70742.393000000	27.2	40.4	1.967	13.2	-50.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2759	Spectrogram 1	1	70741.656000000	70745.098000000	18.1	71.7	3.442	53.6	-54.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2760	Spectrogram 1	1	70756.332000000	70760.471000000	15.7	32.1	4.139	16.4	-57.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2761	Spectrogram 1	1	70756.844000000	70761.434000000	33.0	47.8	4.590	14.8	-56.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2762	Spectrogram 1	1	70761.557000000	70763.115000000	13.2	68.4	1.558	55.2	-49.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2763	Spectrogram 1	1	70762.910000000	70764.918000000	24.7	61.0	2.008	36.3	-55.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2764	Spectrogram 1	1	70769.385000000	70772.172000000	14.8	29.7	2.787	14.9	-59.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2765	Spectrogram 1	1	70775.369000000	70781.721000000	28.0	46.2	6.352	18.2	-57.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2766	Spectrogram 1	1	70783.115000000	70785.328000000	20.6	33.8	2.213	13.2	-52.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2767	Spectrogram 1	1	70785.574000000	70787.623000000	18.1	47.0	2.049	28.9	-54.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2768	Spectrogram 1	1	70789.344000000	70794.754000000	28.8	62.6	5.410	33.8	-60.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2769	Spectrogram 1	1	70808.385000000	70812.647000000	15.7	30.5	4.262	14.8	-58.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2770	Spectrogram 1	1	70814.123000000	70816.500000000	19.8	65.1	2.377	45.3	-56.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2771	Spectrogram 1	1	70821.213000000	70823.795000000	28.8	62.6	2.582	33.8	-59.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2772	Spectrogram 1	1	70823.508000000	70825.311000000	31.3	84.1	1.803	52.8	-56.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2773	Spectrogram 1	1	70832.115000000	70834.574000000	30.5	43.7	2.459	13.2	-57.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2774	Spectrogram 1	1	70833.180000000	70834.942000000	19.8	34.6	1.762	14.8	-55.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2775	Spectrogram 1	1	70836.500000000	70839.738000000	28.0	43.7	3.238	15.7	-59.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2776	Spectrogram 1	1	70841.459000000	70843.795000000	19.0	33.0	2.336	14.0	-58.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2777	Spectrogram 1	1	70848.221000000	70850.434000000	28.0	46.2	2.213	18.2	-58.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2778	Spectrogram 1	1	70852.918000000	70854.311000000	13.2	30.5	1.393	17.3	-49.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2779	Spectrogram 1	1	70855.008000000	70858.287000000	19.0	43.7	3.279	24.7	-56.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2780	Spectrogram 1	1	70858.451000000	70860.049000000	17.3	43.7	1.598	26.4	-54.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2781	Spectrogram 1	1	70860.172000000	70861.484000000	14.8	29.7	1.312	14.9	-60.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2782	Spectrogram 1	1	70877.631000000	70881.483000000	15.7	42.0	3.852	26.3	-59.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2783	Spectrogram 1	1	70881.688000000	70883.328000000	30.5	43.7	1.640	13.2	-61.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2784	Spectrogram 1	1	70902.016000000	70903.860000000	12.4	201.9	1.844	189.5	-53.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2785	Spectrogram 1	1	70904.270000000	70906.565000000	32.1	45.3	2.295	13.2	-55.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2786	Spectrogram 1	1	70907.656000000	70909.418000000	20.6	33.0	1.762	12.4	-55.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2787	Spectrogram 1	1	70951.713000000	70954.090000000	31.3	44.5	2.377	13.2	-55.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2788	Spectrogram 1	1	71026.598000000	71029.590000000	29.7	43.7	2.992	14.0	-57.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2789	Spectrogram 1	1	71033.606000000	71035.861000000	20.6	34.6	2.255	14.0	-52.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2790	Spectrogram 1	1	71036.844000000	71040.942000000	17.3	50.3	4.098	33.0	-54.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2791	Spectrogram 1	1	71071.213000000	71073.426000000	33.8	99.7	2.213	65.9	-56.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2792	Spectrogram 1	1	71076.746000000	71079.000000000	31.3	68.4	2.254	37.1	-56.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2793	Spectrogram 1	1	71104.410000000	71105.721000000	15.7	29.7	1.311	14.0	-56.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2794	Spectrogram 1	1	71123.574000000	71126.320000000	24.7	40.4	2.746	15.7	-60.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2795	Spectrogram 1	1	71154.639000000	71158.901000000	24.7	40.4	4.262	15.7	-60.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2796	Spectrogram 1	1	71215.893000000	71217.574000000	25.5	40.4	1.681	14.9	-59.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2797	Spectrogram 1	1	71234.852000000	71240.795000000	14.0	229.9	5.943	215.9	-49.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2798	Spectrogram 1	1	71246.123000000	71251.287000000	13.2	192.9	5.164	179.7	-49.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2799	Spectrogram 1	1	71252.762000000	71260.057000000	11.5	208.5	7.295	197.0	-48.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2800	Spectrogram 1	1	71270.139000000	71276.123000000	9.9	209.3	5.984	199.4	-48.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2801	Spectrogram 1	1	71277.803000000	71279.647000000	15.7	70.1	1.844	54.4	-53.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2802	Spectrogram 1	1	71279.442000000	71280.836000000	36.3	106.3	1.394	70.0	-50.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2803	Spectrogram 1	1	71280.221000000	71282.803000000	14.8	117.0	2.582	102.2	-55.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2804	Spectrogram 1	1	71282.639000000	71285.508000000	27.2	129.4	2.869	102.2	-61.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2805	Spectrogram 1	1	71293.402000000	71297.008000000	24.7	40.4	3.606	15.7	-57.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2806	Spectrogram 1	1	71318.606000000	71319.836000000	36.3	77.5	1.230	41.2	-53.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2807	Spectrogram 1	1	71342.402000000	71346.992000000	28.0	50.3	4.590	22.3	-58.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2808	Spectrogram 1	1	71390.311000000	71393.139000000	25.5	42.0	2.828	16.5	-62.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2809	Spectrogram 1	1	71395.910000000	71397.836000000	25.5	64.3	1.926	38.8	-57.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2810	Spectrogram 1	1	71399.967000000	71404.844000000	18.1	193.7	4.877	175.6	-51.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2811	Spectrogram 1	1	71413.779000000	71415.623000000	28.0	51.9	1.844	23.9	-57.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2812	Spectrogram 1	1	71414.721000000	71417.303000000	21.4	35.4	2.582	14.0	-56.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2813	Spectrogram 1	1	71427.221000000	71430.254000000	14.0	74.2	3.033	60.2	-50.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2814	Spectrogram 1	1	71433.983000000	71437.467000000	28.0	44.5	3.484	16.5	-55.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2815	Spectrogram 1	1	71440.623000000	71442.549000000	30.5	75.8	1.926	45.3	-55.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2816	Spectrogram 1	1	71448.434000000	71449.910000000	34.6	50.3	1.476	15.7	-57.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2817	Spectrogram 1	1	71514.565000000	71521.369000000	24.7	61.8	6.804	37.1	-59.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2818	Spectrogram 1	1	71522.885000000	71526.246000000	25.5	82.4	3.361	56.9	-61.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2819	Spectrogram 1	1	71526.820000000	71528.910000000	26.4	59.3	2.090	32.9	-61.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2820	Spectrogram 1	1	71533.787000000	71538.008000000	24.7	79.9	4.221	55.2	-58.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2821	Spectrogram 1	1	71542.885000000	71550.754000000	23.9	56.9	7.869	33.0	-60.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2822	Spectrogram 1	1	71569.139000000	71574.508000000	28.0	62.6	5.369	34.6	-58.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2823	Spectrogram 1	1	71574.795000000	71578.279000000	28.0	61.8	3.484	33.8	-58.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2824	Spectrogram 1	1	71577.090000000	71581.352000000	12.4	216.8	4.262	204.4	-54.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2825	Spectrogram 1	1	71581.680000000	71585.820000000	12.4	261.3	4.140	248.9	-41.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2826	Spectrogram 1	1	71584.262000000	71586.147000000	39.6	113.7	1.885	74.1	-41.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2827	Spectrogram 1	1	71587.623000000	71590.082000000	17.3	243.1	2.459	225.8	-53.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2828	Spectrogram 1	1	71589.672000000	71592.295000000	14.0	51.9	2.623	37.9	-49.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2829	Spectrogram 1	1	71591.516000000	71594.508000000	33.0	54.4	2.992	21.4	-48.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2830	Spectrogram 1	1	71596.803000000	71599.631000000	28.8	70.9	2.828	42.1	-51.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2831	Spectrogram 1	1	71599.180000000	71601.311000000	14.8	51.9	2.131	37.1	-51.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2832	Spectrogram 1	1	71602.172000000	71604.139000000	13.2	206.9	1.967	193.7	-53.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2833	Spectrogram 1	1	71602.418000000	71604.877000000	23.1	36.3	2.459	13.2	-53.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2834	Spectrogram 1	1	71604.713000000	71608.319000000	26.4	52.7	3.606	26.3	-46.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2835	Spectrogram 1	1	71605.574000000	71607.336000000	14.0	42.9	1.762	28.9	-47.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2836	Spectrogram 1	1	71606.885000000	71609.426000000	19.0	57.7	2.541	38.7	-50.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2837	Spectrogram 1	1	71614.205000000	71616.705000000	15.7	101.4	2.500	85.7	-59.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2838	Spectrogram 1	1	71642.934000000	71645.147000000	28.0	59.3	2.213	31.3	-63.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2839	Spectrogram 1	1	71696.852000000	71698.328000000	16.5	48.6	1.476	32.1	-54.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2840	Spectrogram 1	1	71698.983000000	71702.385000000	13.2	61.8	3.402	48.6	-59.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2841	Spectrogram 1	1	71747.000000000	71748.598000000	18.1	173.1	1.598	155.0	-51.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2842	Spectrogram 1	1	71911.500000000	71912.770000000	34.6	47.8	1.270	13.2	-57.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2843	Spectrogram 1	1	71935.664000000	71937.180000000	20.6	117.9	1.516	97.3	-41.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2844	Spectrogram 1	1	71937.590000000	71939.762000000	19.0	91.5	2.172	72.5	-45.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2845	Spectrogram 1	1	71939.598000000	71941.320000000	8.2	131.0	1.722	122.8	-45.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2846	Spectrogram 1	1	71940.500000000	71941.607000000	28.8	64.3	1.107	35.5	-44.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2847	Spectrogram 1	1	71942.221000000	71944.434000000	37.1	51.1	2.213	14.0	-52.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2848	Spectrogram 1	1	71942.918000000	71944.147000000	33.0	74.2	1.229	41.2	-49.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2849	Spectrogram 1	1	71947.426000000	71949.803000000	22.3	52.7	2.377	30.4	-51.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2850	Spectrogram 1	1	71949.352000000	71951.975000000	16.5	43.7	2.623	27.2	-50.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2851	Spectrogram 1	1	71951.934000000	71956.279000000	12.4	197.0	4.345	184.6	-46.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2852	Spectrogram 1	1	71955.131000000	71958.000000000	17.3	250.5	2.869	233.2	-40.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2853	Spectrogram 1	1	71959.024000000	71960.746000000	12.4	239.0	1.722	226.6	-44.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2854	Spectrogram 1	1	71962.590000000	71964.434000000	18.1	234.9	1.844	216.8	-47.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2855	Spectrogram 1	1	71962.795000000	71964.926000000	21.4	36.3	2.131	14.9	-46.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2856	Spectrogram 1	1	71967.877000000	71970.787000000	8.2	163.2	2.910	155.0	-50.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2857	Spectrogram 1	1	71968.287000000	71970.705000000	15.7	51.9	2.418	36.2	-43.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2858	Spectrogram 1	1	71971.401000000	71973.574000000	35.4	71.7	2.173	36.3	-54.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2859	Spectrogram 1	1	71972.672000000	71975.664000000	12.4	169.0	2.992	156.6	-52.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2860	Spectrogram 1	1	71973.451000000	71975.008000000	18.1	30.5	1.557	12.4	-48.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2861	Spectrogram 1	1	71977.713000000	71983.328000000	14.0	165.7	5.615	151.7	-53.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2862	Spectrogram 1	1	71980.295000000	71982.877000000	21.4	65.9	2.582	44.5	-47.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2863	Spectrogram 1	1	71987.205000000	71988.762000000	26.4	42.9	1.557	16.5	-45.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2864	Spectrogram 1	1	71993.680000000	71995.115000000	13.2	45.3	1.435	32.1	-52.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2865	Spectrogram 1	1	71994.910000000	71998.393000000	15.7	42.0	3.483	26.3	-57.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2866	Spectrogram 1	1	71997.738000000	71999.090000000	27.2	64.3	1.352	37.1	-59.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2867	Spectrogram 1	1	72001.180000000	72004.008000000	25.5	79.9	2.828	54.4	-57.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2868	Spectrogram 1	1	72004.377000000	72006.672000000	16.5	263.7	2.295	247.2	-52.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2869	Spectrogram 1	1	72004.951000000	72008.147000000	25.5	43.7	3.196	18.2	-44.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2870	Spectrogram 1	1	72007.820000000	72009.541000000	28.8	45.3	1.721	16.5	-47.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2871	Spectrogram 1	1	72008.598000000	72010.975000000	19.0	67.6	2.377	48.6	-50.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2872	Spectrogram 1	1	72009.623000000	72012.041000000	25.5	56.9	2.418	31.4	-51.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2873	Spectrogram 1	1	72012.082000000	72014.623000000	24.7	51.1	2.541	26.4	-59.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2874	Spectrogram 1	1	72015.934000000	72018.393000000	23.9	38.7	2.459	14.8	-55.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2875	Spectrogram 1	1	72023.311000000	72026.672000000	12.4	26.4	3.361	14.0	-56.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2876	Spectrogram 1	1	72029.295000000	72034.500000000	17.3	137.6	5.205	120.3	-57.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2877	Spectrogram 1	1	72033.475000000	72037.246000000	21.4	56.0	3.771	34.6	-51.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2878	Spectrogram 1	1	72044.033000000	72048.295000000	23.9	56.9	4.262	33.0	-54.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2879	Spectrogram 1	1	72069.770000000	72071.000000000	33.0	74.2	1.230	41.2	-59.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2880	Spectrogram 1	1	72169.328000000	72172.320000000	22.3	52.7	2.992	30.4	-57.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2881	Spectrogram 1	1	72177.361000000	72181.008000000	30.5	47.8	3.647	17.3	-58.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2882	Spectrogram 1	1	72181.541000000	72183.467000000	25.5	42.9	1.926	17.4	-54.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2883	Spectrogram 1	1	72182.606000000	72186.172000000	22.3	38.7	3.566	16.4	-56.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2884	Spectrogram 1	1	72214.270000000	72215.828000000	14.8	54.4	1.558	39.6	-54.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2885	Spectrogram 1	1	72215.705000000	72218.779000000	31.3	65.9	3.074	34.6	-59.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2886	Spectrogram 1	1	72229.393000000	72235.336000000	12.4	137.6	5.943	125.2	-55.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2887	Spectrogram 1	1	72233.533000000	72236.360000000	17.3	166.5	2.827	149.2	-53.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2888	Spectrogram 1	1	72235.213000000	72240.008000000	22.3	59.3	4.795	37.0	-51.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2889	Spectrogram 1	1	72236.524000000	72238.369000000	34.6	49.5	1.845	14.9	-51.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
